ID_Producao;Data;Ano;Mes;Nome_Mes;AnoMes;Trimestre;Dia;Dia_Semana;Tipo_Dia;Setor;Produto;Categoria_Produto;Preco_Unitario;Meta_Producao;Quantidade_Produzida;Atingiu_Meta;Quantidade_Defeitos;Taxa_Defeitos_%;Defeito_Falha_Silk;Defeito_Mancha_Tinta;Defeito_Deslocamento_Arte;Defeito_Ponto_Solto;Defeito_Desalinhamento_Costura;Tipo_Defeito_Predominante;Classificacao_Qualidade;Quantidade_Retrabalho;Quantidade_Segunda_Qualidade;Perda_Financeira;Quantidade_Vendida;Faturamento;Materia_Prima_Critica;Estoque_Atual;Estoque_Minimo;Alerta_Estoque;Alerta_Meta;Alerta_Qualidade
1;2025-01-01;2025;1;Janeiro;2025-01;T1;1;Quarta-feira;Dia útil;Corte;Body;Baby;38.9;337;305;Não;1;0.33;0;0;0;0;1;Desalinhamento de costura;Retrabalho;1;0;0.0;0;0.0;Malha de algodão;1379;480;Não;Não;Não
3;2025-01-01;2025;1;Janeiro;2025-01;T1;1;Quarta-feira;Dia útil;Corte;Camiseta Estampada;Infantil;49.9;290;272;Não;2;0.74;0;0;1;0;1;Deslocamento da arte;Retrabalho;1;1;17.25;0;0.0;Tinta de estamparia;540;140;Não;Não;Não
2;2025-01-01;2025;1;Janeiro;2025-01;T1;1;Quarta-feira;Dia útil;Corte;Conjunto Infantil;Infantil;89.9;295;272;Não;4;1.47;0;0;0;2;2;Ponto solto;Retrabalho;3;1;34.97;0;0.0;Malha de algodão;1503;480;Não;Não;Não
4;2025-01-01;2025;1;Janeiro;2025-01;T1;1;Quarta-feira;Dia útil;Corte;Pijama Infantil;Infantil;79.9;213;176;Não;2;1.14;0;0;0;0;2;Desalinhamento de costura;Retrabalho;1;1;31.37;0;0.0;Malha de algodão;1617;480;Não;Sim;Não
5;2025-01-01;2025;1;Janeiro;2025-01;T1;1;Quarta-feira;Dia útil;Corte;Shorts Infantil;Infantil;44.9;142;129;Não;0;0.0;0;0;0;0;0;Sem defeito relevante;Sem ocorrência relevante;0;0;0.0;0;0.0;Aviamentos;885;260;Não;Não;Não
11;2025-01-01;2025;1;Janeiro;2025-01;T1;1;Quarta-feira;Dia útil;Costura;Body;Baby;38.9;290;244;Não;9;3.69;0;0;0;4;5;Desalinhamento de costura;Retrabalho;6;3;39.47;0;0.0;Aviamentos;876;260;Não;Sim;Não
13;2025-01-01;2025;1;Janeiro;2025-01;T1;1;Quarta-feira;Dia útil;Costura;Camiseta Estampada;Infantil;49.9;264;248;Não;4;1.61;0;0;0;2;2;Ponto solto;Retrabalho;3;1;17.97;0;0.0;Aviamentos;571;260;Não;Não;Não
12;2025-01-01;2025;1;Janeiro;2025-01;T1;1;Quarta-feira;Dia útil;Costura;Conjunto Infantil;Infantil;89.9;275;293;Sim;7;2.39;0;0;0;2;5;Desalinhamento de costura;Retrabalho;5;2;59.08;0;0.0;Aviamentos;929;260;Não;Não;Não
14;2025-01-01;2025;1;Janeiro;2025-01;T1;1;Quarta-feira;Dia útil;Costura;Pijama Infantil;Infantil;79.9;173;169;Não;4;2.37;0;0;1;1;2;Desalinhamento de costura;Retrabalho;3;1;28.57;0;0.0;Aviamentos;630;260;Não;Não;Não
15;2025-01-01;2025;1;Janeiro;2025-01;T1;1;Quarta-feira;Dia útil;Costura;Shorts Infantil;Infantil;44.9;142;130;Não;5;3.85;0;0;1;3;1;Ponto solto;Retrabalho;3;2;32.12;0;0.0;Aviamentos;1123;260;Não;Não;Não
6;2025-01-01;2025;1;Janeiro;2025-01;T1;1;Quarta-feira;Dia útil;Estamparia;Body;Baby;38.9;322;353;Sim;14;3.97;6;3;3;1;1;Falha de silk;Retrabalho;8;6;75.28;0;0.0;Tinta de estamparia;479;140;Não;Não;Não
8;2025-01-01;2025;1;Janeiro;2025-01;T1;1;Quarta-feira;Dia útil;Estamparia;Camiseta Estampada;Infantil;49.9;262;247;Não;15;6.07;5;4;5;1;0;Falha de silk;Segunda Qualidade;7;8;152.15;0;0.0;Tinta de estamparia;480;140;Não;Não;Sim
7;2025-01-01;2025;1;Janeiro;2025-01;T1;1;Quarta-feira;Dia útil;Estamparia;Conjunto Infantil;Infantil;89.9;273;256;Não;15;5.86;8;5;2;0;0;Falha de silk;Segunda Qualidade;7;8;230.94;0;0.0;Tinta de estamparia;559;140;Não;Não;Sim
9;2025-01-01;2025;1;Janeiro;2025-01;T1;1;Quarta-feira;Dia útil;Estamparia;Pijama Infantil;Infantil;79.9;190;186;Não;12;6.45;4;5;3;0;0;Mancha de tinta;Retrabalho;7;5;132.1;0;0.0;Tinta de estamparia;394;140;Não;Não;Sim
10;2025-01-01;2025;1;Janeiro;2025-01;T1;1;Quarta-feira;Dia útil;Estamparia;Shorts Infantil;Infantil;44.9;141;122;Não;8;6.56;4;3;0;0;1;Falha de silk;Retrabalho;5;3;46.19;0;0.0;Tinta de estamparia;490;140;Não;Sim;Sim
21;2025-01-01;2025;1;Janeiro;2025-01;T1;1;Quarta-feira;Dia útil;Expedição;Body;Baby;38.9;266;246;Não;2;0.81;0;0;0;2;0;Ponto solto;Retrabalho;1;1;15.97;229;8908.1;Malha de algodão;1233;480;Não;Não;Não
23;2025-01-01;2025;1;Janeiro;2025-01;T1;1;Quarta-feira;Dia útil;Expedição;Camiseta Estampada;Infantil;49.9;233;200;Não;1;0.5;0;0;0;0;1;Desalinhamento de costura;Retrabalho;1;0;0.0;185;9231.5;Tinta de estamparia;747;140;Não;Sim;Não
22;2025-01-01;2025;1;Janeiro;2025-01;T1;1;Quarta-feira;Dia útil;Expedição;Conjunto Infantil;Infantil;89.9;259;232;Não;0;0.0;0;0;0;0;0;Sem defeito relevante;Sem ocorrência relevante;0;0;0.0;198;17800.2;Malha de algodão;1549;480;Não;Sim;Não
24;2025-01-01;2025;1;Janeiro;2025-01;T1;1;Quarta-feira;Dia útil;Expedição;Pijama Infantil;Infantil;79.9;175;148;Não;0;0.0;0;0;0;0;0;Sem defeito relevante;Sem ocorrência relevante;0;0;0.0;124;9907.6;Malha de algodão;1777;480;Não;Sim;Não
25;2025-01-01;2025;1;Janeiro;2025-01;T1;1;Quarta-feira;Dia útil;Expedição;Shorts Infantil;Infantil;44.9;124;121;Não;0;0.0;0;0;0;0;0;Sem defeito relevante;Sem ocorrência relevante;0;0;0.0;100;4490.0;Aviamentos;877;260;Não;Não;Não
16;2025-01-01;2025;1;Janeiro;2025-01;T1;1;Quarta-feira;Dia útil;Revisão;Body;Baby;38.9;277;272;Não;2;0.74;0;0;2;0;0;Deslocamento da arte;Retrabalho;1;1;14.97;0;0.0;Malha de algodão;1627;480;Não;Não;Não
18;2025-01-01;2025;1;Janeiro;2025-01;T1;1;Quarta-feira;Dia útil;Revisão;Camiseta Estampada;Infantil;49.9;233;204;Não;7;3.43;0;1;2;3;1;Ponto solto;Retrabalho;4;3;48.42;0;0.0;Tinta de estamparia;494;140;Não;Sim;Não
17;2025-01-01;2025;1;Janeiro;2025-01;T1;1;Quarta-feira;Dia útil;Revisão;Conjunto Infantil;Infantil;89.9;273;266;Não;4;1.5;1;1;0;0;2;Desalinhamento de costura;Retrabalho;3;1;28.48;0;0.0;Malha de algodão;1291;480;Não;Não;Não
19;2025-01-01;2025;1;Janeiro;2025-01;T1;1;Quarta-feira;Dia útil;Revisão;Pijama Infantil;Infantil;79.9;183;180;Não;0;0.0;0;0;0;0;0;Sem defeito relevante;Sem ocorrência relevante;0;0;0.0;0;0.0;Malha de algodão;1745;480;Não;Não;Não
20;2025-01-01;2025;1;Janeiro;2025-01;T1;1;Quarta-feira;Dia útil;Revisão;Shorts Infantil;Infantil;44.9;134;110;Não;3;2.73;1;0;1;1;0;Falha de silk;Retrabalho;2;1;13.4;0;0.0;Aviamentos;784;260;Não;Sim;Não
26;2025-01-02;2025;1;Janeiro;2025-01;T1;2;Quinta-feira;Dia útil;Corte;Body;Baby;38.9;321;322;Sim;1;0.31;0;0;0;0;1;Desalinhamento de costura;Retrabalho;1;0;0.0;0;0.0;Malha de algodão;1318;480;Não;Não;Não
28;2025-01-02;2025;1;Janeiro;2025-01;T1;2;Quinta-feira;Dia útil;Corte;Camiseta Estampada;Infantil;49.9;289;283;Não;3;1.06;0;0;0;0;3;Desalinhamento de costura;Retrabalho;2;1;15.83;0;0.0;Tinta de estamparia;372;140;Não;Não;Não
27;2025-01-02;2025;1;Janeiro;2025-01;T1;2;Quinta-feira;Dia útil;Corte;Conjunto Infantil;Infantil;89.9;309;339;Sim;7;2.06;0;0;1;3;3;Ponto solto;Retrabalho;5;2;69.97;0;0.0;Malha de algodão;1601;480;Não;Não;Não
29;2025-01-02;2025;1;Janeiro;2025-01;T1;2;Quinta-feira;Dia útil;Corte;Pijama Infantil;Infantil;79.9;203;209;Sim;3;1.44;0;0;0;0;3;Desalinhamento de costura;Retrabalho;2;1;32.99;0;0.0;Malha de algodão;1730;480;Não;Não;Não
30;2025-01-02;2025;1;Janeiro;2025-01;T1;2;Quinta-feira;Dia útil;Corte;Shorts Infantil;Infantil;44.9;154;175;Sim;3;1.71;0;0;0;0;3;Desalinhamento de costura;Retrabalho;2;1;14.38;0;0.0;Aviamentos;975;260;Não;Não;Não
36;2025-01-02;2025;1;Janeiro;2025-01;T1;2;Quinta-feira;Dia útil;Costura;Body;Baby;38.9;298;311;Sim;4;1.29;0;0;0;1;3;Desalinhamento de costura;Retrabalho;3;1;11.49;0;0.0;Aviamentos;548;260;Não;Não;Não
38;2025-01-02;2025;1;Janeiro;2025-01;T1;2;Quinta-feira;Dia útil;Costura;Camiseta Estampada;Infantil;49.9;244;215;Não;8;3.72;0;1;0;6;1;Ponto solto;Retrabalho;5;3;43.0;0;0.0;Aviamentos;589;260;Não;Sim;Não
37;2025-01-02;2025;1;Janeiro;2025-01;T1;2;Quinta-feira;Dia útil;Costura;Conjunto Infantil;Infantil;89.9;294;277;Não;10;3.61;0;3;0;3;4;Desalinhamento de costura;Retrabalho;6;4;145.85;0;0.0;Aviamentos;916;260;Não;Não;Não
39;2025-01-02;2025;1;Janeiro;2025-01;T1;2;Quinta-feira;Dia útil;Costura;Pijama Infantil;Infantil;79.9;165;137;Não;4;2.92;0;0;1;1;2;Desalinhamento de costura;Retrabalho;3;1;31.75;0;0.0;Aviamentos;838;260;Não;Sim;Não
40;2025-01-02;2025;1;Janeiro;2025-01;T1;2;Quinta-feira;Dia útil;Costura;Shorts Infantil;Infantil;44.9;143;149;Sim;7;4.7;0;0;0;5;2;Ponto solto;Retrabalho;5;2;37.47;0;0.0;Aviamentos;668;260;Não;Não;Não
31;2025-01-02;2025;1;Janeiro;2025-01;T1;2;Quinta-feira;Dia útil;Estamparia;Body;Baby;38.9;293;352;Sim;8;2.27;5;1;1;0;1;Falha de silk;Retrabalho;5;3;48.13;0;0.0;Tinta de estamparia;508;140;Não;Não;Não
33;2025-01-02;2025;1;Janeiro;2025-01;T1;2;Quinta-feira;Dia útil;Estamparia;Camiseta Estampada;Infantil;49.9;258;328;Sim;13;3.96;3;7;3;0;0;Mancha de tinta;Retrabalho;7;6;101.38;0;0.0;Tinta de estamparia;455;140;Não;Não;Não
32;2025-01-02;2025;1;Janeiro;2025-01;T1;2;Quinta-feira;Dia útil;Estamparia;Conjunto Infantil;Infantil;89.9;293;307;Sim;14;4.56;4;5;3;1;1;Mancha de tinta;Retrabalho;8;6;208.72;0;0.0;Tinta de estamparia;538;140;Não;Não;Não
34;2025-01-02;2025;1;Janeiro;2025-01;T1;2;Quinta-feira;Dia útil;Estamparia;Pijama Infantil;Infantil;79.9;198;243;Sim;16;6.58;5;7;3;1;0;Mancha de tinta;Retrabalho;8;8;262.75;0;0.0;Tinta de estamparia;424;140;Não;Não;Sim
35;2025-01-02;2025;1;Janeiro;2025-01;T1;2;Quinta-feira;Dia útil;Estamparia;Shorts Infantil;Infantil;44.9;146;165;Sim;12;7.27;7;2;2;1;0;Falha de silk;Retrabalho;7;5;85.42;0;0.0;Tinta de estamparia;571;140;Não;Não;Sim
46;2025-01-02;2025;1;Janeiro;2025-01;T1;2;Quinta-feira;Dia útil;Expedição;Body;Baby;38.9;267;268;Sim;1;0.37;0;0;0;1;0;Ponto solto;Retrabalho;1;0;0.0;226;8791.4;Malha de algodão;1413;480;Não;Não;Não
48;2025-01-02;2025;1;Janeiro;2025-01;T1;2;Quinta-feira;Dia útil;Expedição;Camiseta Estampada;Infantil;49.9;225;226;Sim;0;0.0;0;0;0;0;0;Sem defeito relevante;Sem ocorrência relevante;0;0;0.0;191;9530.9;Tinta de estamparia;449;140;Não;Não;Não
47;2025-01-02;2025;1;Janeiro;2025-01;T1;2;Quinta-feira;Dia útil;Expedição;Conjunto Infantil;Infantil;89.9;258;234;Não;2;0.85;2;0;0;0;0;Falha de silk;Retrabalho;1;1;29.09;214;19238.6;Malha de algodão;1209;480;Não;Não;Não
49;2025-01-02;2025;1;Janeiro;2025-01;T1;2;Quinta-feira;Dia útil;Expedição;Pijama Infantil;Infantil;79.9;174;201;Sim;2;1.0;2;0;0;0;0;Falha de silk;Retrabalho;1;1;27.39;176;14062.4;Malha de algodão;1942;480;Não;Não;Não
50;2025-01-02;2025;1;Janeiro;2025-01;T1;2;Quinta-feira;Dia útil;Expedição;Shorts Infantil;Infantil;44.9;132;137;Sim;1;0.73;0;0;1;0;0;Deslocamento da arte;Retrabalho;1;0;0.0;118;5298.2;Aviamentos;777;260;Não;Não;Não
41;2025-01-02;2025;1;Janeiro;2025-01;T1;2;Quinta-feira;Dia útil;Revisão;Body;Baby;38.9;294;301;Sim;10;3.32;2;3;2;2;1;Mancha de tinta;Retrabalho;6;4;64.18;0;0.0;Malha de algodão;1505;480;Não;Não;Não
43;2025-01-02;2025;1;Janeiro;2025-01;T1;2;Quinta-feira;Dia útil;Revisão;Camiseta Estampada;Infantil;49.9;249;270;Sim;6;2.22;2;1;1;1;1;Falha de silk;Retrabalho;4;2;36.16;0;0.0;Tinta de estamparia;370;140;Não;Não;Não
